上海,21663,35008,7890,11月14日
云南,2069,12563,141,11月14日
内蒙古,2509,6635,466,11月14日
北京,8654,21694,2248,11月14日
吉林,218,6834,81,11月14日
四川,34056,34036,15941,11月14日
天津,342,5220,91,11月14日
宁夏,218,3333,50,11月14日
安徽,6981,17471,767,11月14日
山东,1739,13889,1107,11月14日
山西,735,7738,287,11月14日
广东,32094,72785,17407,11月14日
广西,19820,19027,3150,11月14日
新疆,320,5077,37,11月14日
江苏,95041,48213,24292,11月14日
江西,11973,8810,2728,11月14日
河北,7180,20583,2980,11月14日
河南,1232,14739,121,11月14日
浙江,75971,32028,30993,11月14日
海南,827,4847,57,11月14日
湖北,36815,19261,7242,11月14日
湖南,1495,20614,157,11月14日
甘肃,3445,9680,844,11月14日
福建,6262,17562,860,11月14日
西藏,8,1509,3,11月14日
贵州,1232,10413,140,11月14日
辽宁,2426,8123,401,11月14日
重庆,29450,13241,813,11月14日
陕西,8755,17429,4896,11月14日
青海,413,2628,56,11月14日
黑龙江,1655,7608,175,11月14日
上海,14401,30684,500,11月11日
云南,1122,11035,13,11月11日
内蒙古,1901,5662,67,11月11日
北京,5796,19068,215,11月11日
吉林,150,5938,2,11月11日
四川,21066,29363,1305,11月11日
天津,145,4608,2,11月11日
宁夏,115,2907,7,11月11日
安徽,3736,14926,60,11月11日
山东,1154,12028,94,11月11日
山西,555,6636,28,11月11日
广东,22321,63127,1552,11月11日
广西,12555,16141,313,11月11日
新疆,122,4689,5,11月11日
江苏,58323,41701,2035,11月11日
江西,6422,7457,289,11月11日
河北,4456,17701,189,11月11日
河南,584,12671,3,11月11日
浙江,51909,27433,2473,11月11日
海南,469,4165,7,11月11日
湖北,22227,16676,473,11月11日
湖南,854,17768,5,11月11日
甘肃,1760,8403,69,11月11日
福建,2346,15002,38,11月11日
西藏,8,1350,0,11月11日
贵州,506,8887,9,11月11日
辽宁,1613,7142,43,11月11日
重庆,17687,11479,70,11月11日
陕西,4302,15050,494,11月11日
青海,223,2302,3,11月11日
黑龙江,175,6680,4,11月11日
